time,lat,long,AdjustedStrength,strength
1.5077E+12,-33.91809622,151.2296818,52,-76
1.5077E+12,-33.9180949,151.2297273,52,-76
1.5077E+12,-33.91807271,151.2297719,52,-76
1.5077E+12,-33.91805111,151.2298176,45,-83
1.5077E+12,-33.91804564,151.2298701,46,-82
1.5077E+12,-33.91801334,151.2299039,46,-82
1.5077E+12,-33.91802032,151.2299475,46,-82
1.5077E+12,-33.9180101,151.2299931,46,-82
1.5077E+12,-33.9180095,151.2300523,46,-82
1.5077E+12,-33.91798897,151.2301052,46,-82
1.5077E+12,-33.91797611,151.2301587,46,-82
1.5077E+12,-33.91798607,151.2302068,46,-82
1.5077E+12,-33.91800207,151.2302308,46,-82
1.5077E+12,-33.91802273,151.2302827,46,-82
1.5077E+12,-33.91804365,151.2303309,46,-82
1.5077E+12,-33.91808821,151.2303907,46,-82
1.5077E+12,-33.91811234,151.2304537,46,-82
1.5077E+12,-33.9181304,151.2304966,46,-82
1.5077E+12,-33.91814955,151.2305501,46,-82
1.5077E+12,-33.91815722,151.2305883,46,-82
1.5077E+12,-33.9181917,151.2306509,46,-82
1.5077E+12,-33.91818806,151.2307217,46,-82
1.5077E+12,-33.91819942,151.2307929,46,-82
1.5077E+12,-33.91821142,151.2308383,46,-82
1.5077E+12,-33.91821324,151.2308848,46,-82
1.5077E+12,-33.91821321,151.2309406,46,-82
1.5077E+12,-33.91822689,151.230998,51,-77
1.5077E+12,-33.91823549,151.2310264,55,-73
1.5077E+12,-33.91823968,151.2310958,53,-75
1.5077E+12,-33.91823391,151.2311373,49,-79
1.5077E+12,-33.91823493,151.2311919,53,-75
1.5077E+12,-33.91824267,151.2312322,48,-80
1.5077E+12,-33.91825805,151.2312792,44,-84
1.5077E+12,-33.91827223,151.2313303,44,-84
1.5077E+12,-33.91830136,151.2313571,43,-85
1.5077E+12,-33.91830524,151.231366,43,-85
1.5077E+12,-33.91830357,151.2313679,43,-85
1.5077E+12,-33.91830277,151.2313689,1,-127
1.5077E+12,-33.9184478,151.2312936,63,-65
1.5077E+12,-33.91830973,151.2313656,41,-87
1.5077E+12,-33.91829771,151.2312408,40,-88
1.5077E+12,-33.91851145,151.2311351,40,-88
1.5077E+12,-33.91855256,151.2311271,38,-90
1.5077E+12,-33.91854515,151.231143,38,-90
1.5077E+12,-33.91854716,151.2311401,38,-90
1.5077E+12,-33.91853811,151.2311324,71,-57
1.5077E+12,-33.91854665,151.231144,60,-68
1.5077E+12,-33.91854834,151.2311454,58,-70
1.5077E+12,-33.91854829,151.2311455,54,-74
1.5077E+12,-33.91854856,151.2311454,55,-73
1.5077E+12,-33.91854848,151.2311449,54,-74
1.5077E+12,-33.91854845,151.2311448,54,-74
1.5077E+12,-33.91856367,151.2311673,59,-69
1.5077E+12,-33.91856382,151.2311689,52,-76
1.5077E+12,-33.91860757,151.2311448,50,-78
1.5077E+12,-33.91864104,151.2311575,41,-87
1.5077E+12,-33.91865536,151.2311968,41,-87
1.5077E+12,-33.91861942,151.231188,41,-87
1.5077E+12,-33.91859469,151.2311684,40,-88
1.5077E+12,-33.91861332,151.2311968,40,-88
1.5077E+12,-33.91859607,151.2311547,1,-127
1.5077E+12,-33.91860148,151.2310837,54,-74
1.5077E+12,-33.91858483,151.2310347,55,-73
1.5077E+12,-33.91854236,151.2309827,50,-78
1.5077E+12,-33.91849988,151.2309688,49,-79
1.5077E+12,-33.91842049,151.2309447,48,-80
1.5077E+12,-33.91835842,151.2309549,47,-81
1.5077E+12,-33.91830546,151.2309524,1,-127
1.5077E+12,-33.91821577,151.2309888,59,-69
1.5077E+12,-33.91817082,151.2309816,57,-71
1.5077E+12,-33.91812115,151.2309949,57,-71
1.5077E+12,-33.91809816,151.2309958,55,-73
1.5077E+12,-33.91808589,151.2309999,50,-78
1.5077E+12,-33.91805258,151.2310049,51,-77
1.5077E+12,-33.91801445,151.23102,51,-77
1.5077E+12,-33.91799496,151.2310364,44,-84
1.5077E+12,-33.91797323,151.2310452,44,-84
1.5077E+12,-33.91768196,151.2310499,1,-127
1.5077E+12,-33.91765945,151.2310717,1,-127
1.5077E+12,-33.91763157,151.2311019,1,-127
1.5077E+12,-33.91757008,151.2311068,81,-47
1.5077E+12,-33.91754637,151.2311066,80,-48
1.5077E+12,-33.91753497,151.2311087,87,-41
1.5077E+12,-33.91753497,151.2311046,84,-44
1.5077E+12,-33.91753549,151.231104,81,-47
1.5077E+12,-33.9173551,151.2310337,81,-47
1.5077E+12,-33.91685087,151.2310601,81,-47
1.5077E+12,-33.91681178,151.2310721,81,-47
1.5077E+12,-33.91663567,151.2310843,81,-47
1.5077E+12,-33.9167118,151.2310349,81,-47
1.5077E+12,-33.91666418,151.2310019,81,-47
1.5077E+12,-33.91670221,151.2308845,81,-47
1.5077E+12,-33.91666295,151.2308876,81,-47
1.5077E+12,-33.9168176,151.2307596,81,-47
1.5077E+12,-33.91699894,151.2306665,81,-47
1.5077E+12,-33.91706876,151.2305623,81,-47
1.5077E+12,-33.91712108,151.23051,81,-47
1.5077E+12,-33.91712524,151.2304283,81,-47
1.5077E+12,-33.91712942,151.2304283,81,-47
1.5077E+12,-33.91712863,151.2304128,81,-47
1.5077E+12,-33.91714419,151.2303861,81,-47
1.5077E+12,-33.9171351,151.2302737,81,-47
1.5077E+12,-33.91711449,151.2301923,81,-47
1.5077E+12,-33.91711637,151.2302272,81,-47
1.5077E+12,-33.9171838,151.2306404,81,-47
1.5077E+12,-33.9172328,151.2306144,81,-47
1.5077E+12,-33.91719599,151.2306477,81,-47
1.5077E+12,-33.91721831,151.2306275,81,-47
1.5077E+12,-33.91719729,151.23062,81,-47
1.5077E+12,-33.91721477,151.2306643,81,-47
1.5077E+12,-33.91726191,151.2306738,81,-47
1.5077E+12,-33.91727998,151.2306784,81,-47
1.5077E+12,-33.91728919,151.230672,81,-47
1.5077E+12,-33.91730497,151.2306545,81,-47
1.5077E+12,-33.91732842,151.2306237,81,-47
1.5077E+12,-33.91734137,151.2306041,81,-47
1.5077E+12,-33.91734052,151.2306151,81,-47
1.5077E+12,-33.91733579,151.2306185,81,-47
1.5077E+12,-33.91732304,151.230614,81,-47
1.5077E+12,-33.91731851,151.2306088,81,-47
1.5077E+12,-33.91731737,151.2306078,81,-47
1.5077E+12,-33.91731305,151.2306113,81,-47
1.5077E+12,-33.91731149,151.2306128,81,-47
1.5077E+12,-33.91729335,151.2306244,81,-47
1.5077E+12,-33.91724015,151.2305421,76,-52
1.5077E+12,-33.9171932,151.2304307,76,-52
1.5077E+12,-33.91714296,151.2303245,76,-52
1.5077E+12,-33.91710886,151.2302389,76,-52
1.5077E+12,-33.91707073,151.2301857,76,-52
1.5077E+12,-33.91707393,151.2301585,76,-52
1.5077E+12,-33.91706068,151.2301047,76,-52
1.5077E+12,-33.91705252,151.2300764,76,-52
1.5077E+12,-33.91702541,151.2300376,76,-52
1.5077E+12,-33.91699716,151.2300468,76,-52
1.5077E+12,-33.916989,151.2300001,76,-52
1.5077E+12,-33.91701643,151.2299537,76,-52
1.5077E+12,-33.91712262,151.2298803,76,-52
1.5077E+12,-33.91715466,151.2300356,76,-52
1.5077E+12,-33.91716193,151.2300321,45,-83
1.5077E+12,-33.91716047,151.2300329,46,-82
1.5077E+12,-33.91716141,151.2300328,48,-80
1.5077E+12,-33.91718882,151.2300236,48,-80
1.5077E+12,-33.91719505,151.2300214,43,-85
1.5077E+12,-33.91719952,151.2300201,46,-82
1.5077E+12,-33.91720011,151.23002,43,-85
1.5077E+12,-33.91720635,151.2300175,44,-84
